epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.629,0,41.351,0,0,0,0,0,0,5.92895,0,0.000650794,0.000650794,0.000650794
2,413.118,0,2.52597,0,0,0,0,0,0,2.18298,0,0.00129137,0.00129137,0.00129137
3,555.235,0,1.10275,0,0,0,0,0,0,0.94804,0,0.00190556,0.00190556,0.00190556
4,695.598,0,0.46682,0,0,0,0,0,0,0.4926,0,0.0018812,0.0018812,0.0018812
5,837.847,0,0.20146,0,0,0,0,0,0,0.19469,0,0.0018416,0.0018416,0.0018416
6,1030.8,0,0.07367,0,0,0,0,0,0,0.06174,0,0.001802,0.001802,0.001802
7,1301.93,0,0.02857,0,0,0,0,0,0,0.03906,0,0.0017624,0.0017624,0.0017624
8,1459.65,0,0.01334,0,0,0,0,0,0,0.01145,0,0.0017228,0.0017228,0.0017228
9,1602.72,0,0.00536,0,0,0,0,0,0,0.00651,0,0.0016832,0.0016832,0.0016832
10,1744.16,0,0.00322,0,0,0,0,0,0,0.00558,0,0.0016436,0.0016436,0.0016436
11,1889.8,0,0.00303,0,0,0,0,0,0,0.00556,0,0.001604,0.001604,0.001604
12,2040.7,0,0.00302,0,0,0,0,0,0,0.00556,0,0.0015644,0.0015644,0.0015644
13,2184.53,0,0.00302,0,0,0,0,0,0,0.00555,0,0.0015248,0.0015248,0.0015248
14,2328.25,0,0.003,0,0,0,0,0,0,0.00551,0,0.0014852,0.0014852,0.0014852
15,2489.12,0,0.00294,0,0,0,0,0,0,0.00521,0,0.0014456,0.0014456,0.0014456
16,2658.69,0,0.00246,0,0,0,0,0,0,0.00363,0,0.001406,0.001406,0.001406
17,2819.75,0,0.001,0,0,0,0,0,0,0.0004,0,0.0013664,0.0013664,0.0013664
18,2999.72,0,0.00015,0,0,0,0,0,0,0.0001,0,0.0013268,0.0013268,0.0013268
19,3143.49,0,4e-05,0,0,0,0,0,0,4e-05,0,0.0012872,0.0012872,0.0012872
20,3287.41,0,2e-05,0,0,0,0,0,0,2e-05,0,0.0012476,0.0012476,0.0012476
21,3433.65,0,1e-05,0,0,0,0,0,0,1e-05,0,0.001208,0.001208,0.001208
22,3589.13,0,0,0,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
23,3745.87,0,0,0,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
24,3900.07,0,0,0,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
25,4051.34,0,0,0,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
26,4507.99,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
27,4690.99,0,0,0,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
28,4838.46,0,0,0,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
29,4982.88,0,0,0,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
30,5128.87,0,0,0,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
31,5272.4,0,0,0,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
32,5415.23,0,0,0,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
33,5611.26,0,0,0,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
34,5787.93,0,0,0,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
35,5930.35,0,0,0,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
36,6088.66,0,0,0,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
37,6242.93,0,0,0,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
38,6386.58,0,0,0,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
39,6533.94,0,0,0,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
40,6682.62,0,0,0,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
41,6831.11,0,0,0,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
42,6985.76,0,0,0,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
43,7182.81,0,0,0,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
44,7449.47,0,0,0,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
45,7583.34,0,0,0,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
46,7771.09,0,0,0,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
47,7932.87,0,0,0,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
48,8189.85,0,0,0,0,0,0,0,0,0,0,0.0001388,0.0001388,0.0001388
49,8336.25,0,0,0,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
50,8671.74,0,0,0,0,0,0,0,0,0,0,5.96e-05,5.96e-05,5.96e-05
