epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.871,1.47559,2.53844,1.45225,0.58941,0.22854,0.25511,0.12674,1.56563,2.98904,1.48121,0.000651852,0.000651852,0.000651852
2,340.191,1.50372,1.9578,1.45697,0.29764,0.11443,0.10046,0.03638,1.86692,3.35293,1.94695,0.00127501,0.00127501,0.00127501
3,498.257,1.55212,1.92169,1.50472,0.41465,0.44776,0.32041,0.15226,1.84794,2.94929,1.80518,0.00185416,0.00185416,0.00185416
4,610.753,1.53223,1.77341,1.47322,0.47226,0.34281,0.33571,0.15432,1.89786,3.21623,1.88612,0.001802,0.001802,0.001802
5,1013.51,1.49425,1.73898,1.48918,0.50575,0.50249,0.49281,0.23397,1.76009,2.03794,1.75389,0.001736,0.001736,0.001736
6,1119.73,1.47118,1.60158,1.43904,0.42387,0.35871,0.31674,0.15652,1.86271,2.43981,1.87306,0.00167,0.00167,0.00167
7,1227.84,1.47501,1.54984,1.44377,0.51931,0.57711,0.50822,0.27208,1.63158,1.94821,1.57505,0.001604,0.001604,0.001604
8,1403.3,1.45538,1.48474,1.42808,0.51236,0.62729,0.57126,0.30019,1.6381,1.67016,1.55012,0.001538,0.001538,0.001538
9,1529.69,1.40294,1.43244,1.41713,0.56072,0.48756,0.48658,0.25779,1.5883,1.92394,1.58848,0.001472,0.001472,0.001472
10,1657.07,1.39117,1.35676,1.38591,0.59697,0.57479,0.58711,0.30233,1.60554,1.55354,1.5378,0.001406,0.001406,0.001406
11,1778.22,1.35818,1.29867,1.361,0.60514,0.6176,0.63447,0.34497,1.5544,1.48936,1.48484,0.00134,0.00134,0.00134
12,1886.49,1.33799,1.26188,1.33981,0.6418,0.56716,0.57349,0.29618,1.63499,1.57943,1.57003,0.001274,0.001274,0.001274
13,2016.34,1.3072,1.24587,1.34369,0.59966,0.57214,0.59507,0.31842,1.58291,1.56506,1.53807,0.001208,0.001208,0.001208
14,2142.8,1.3145,1.22855,1.32448,0.57062,0.63184,0.59699,0.34571,1.4894,1.50442,1.48555,0.001142,0.001142,0.001142
15,2253.54,1.29808,1.19074,1.312,0.60993,0.57567,0.60866,0.34065,1.54855,1.44032,1.51877,0.001076,0.001076,0.001076
16,2361.38,1.2549,1.10964,1.2806,0.69807,0.56716,0.65222,0.38394,1.43625,1.3727,1.4257,0.00101,0.00101,0.00101
17,2482.93,1.23318,1.10692,1.2717,0.61531,0.63682,0.66068,0.38003,1.48503,1.34388,1.45877,0.000944,0.000944,0.000944
18,2611.76,1.22995,1.09236,1.27043,0.67516,0.59701,0.64304,0.37887,1.41839,1.29945,1.39156,0.000878,0.000878,0.000878
19,2743.83,1.20897,1.05917,1.27272,0.69016,0.67662,0.68344,0.39173,1.49177,1.28017,1.45588,0.000812,0.000812,0.000812
20,2875.9,1.19074,1.00727,1.25141,0.70045,0.67475,0.69851,0.40428,1.45858,1.24504,1.39163,0.000746,0.000746,0.000746
21,3005.77,1.17613,0.97697,1.2511,0.70477,0.70647,0.72593,0.42152,1.4358,1.18611,1.39156,0.00068,0.00068,0.00068
22,3136.1,1.15395,0.88697,1.23193,0.64263,0.71573,0.68862,0.41477,1.41715,1.29138,1.40552,0.000614,0.000614,0.000614
23,3268.29,1.1053,0.84013,1.22103,0.71956,0.65102,0.72992,0.43685,1.42716,1.22054,1.38391,0.000548,0.000548,0.000548
24,3398.31,1.08946,0.82492,1.20759,0.64905,0.73134,0.70104,0.41043,1.41483,1.19707,1.40269,0.000482,0.000482,0.000482
25,3526.84,1.07686,0.78,1.18941,0.659,0.7115,0.69657,0.42568,1.37511,1.19975,1.39246,0.000416,0.000416,0.000416
26,3655.69,1.02502,0.74644,1.14794,0.71699,0.70582,0.75051,0.45528,1.34747,1.13248,1.34379,0.00035,0.00035,0.00035
27,3782.8,1.02461,0.73004,1.15447,0.76353,0.68159,0.74231,0.44261,1.36626,1.11493,1.36447,0.000284,0.000284,0.000284
28,3913.22,0.99958,0.70736,1.13218,0.7375,0.69652,0.74119,0.43197,1.38643,1.09279,1.3933,0.000218,0.000218,0.000218
29,4043.7,0.97892,0.69223,1.11985,0.75447,0.69154,0.75485,0.45703,1.3784,1.07705,1.37278,0.000152,0.000152,0.000152
30,4172.98,0.95773,0.67008,1.11684,0.75146,0.69154,0.76464,0.467,1.33392,1.09423,1.34549,8.6e-05,8.6e-05,8.6e-05
