epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.548,1.48631,2.36063,1.45422,0.74546,0.04378,0.15571,0.06611,1.5331,3.19845,1.58012,0.000651852,0.000651852,0.000651852
2,443.775,1.44251,1.84341,1.4002,0.23705,0.24876,0.18441,0.09192,1.76843,2.8128,1.79519,0.00127501,0.00127501,0.00127501
3,902.799,1.49738,1.84184,1.46972,0.22186,0.36318,0.1802,0.08047,2.03472,3.06407,1.93573,0.00185416,0.00185416,0.00185416
4,1340.49,1.52109,1.73358,1.47765,0.31021,0.21393,0.172,0.06686,2.21187,3.00195,2.20963,0.001802,0.001802,0.001802
5,1765.45,1.45516,1.62528,1.43736,0.47967,0.45771,0.41988,0.21291,1.83334,2.3779,1.74939,0.001736,0.001736,0.001736
6,2095.32,1.45693,1.55341,1.41182,0.52111,0.49751,0.47834,0.23746,1.71372,1.87639,1.66495,0.00167,0.00167,0.00167
7,2426.51,1.3996,1.43698,1.3874,0.6943,0.45274,0.54399,0.29597,1.58583,1.96439,1.56171,0.001604,0.001604,0.001604
8,2539.65,1.39462,1.42259,1.3683,0.5412,0.63682,0.58865,0.31055,1.59776,1.55535,1.51111,0.001538,0.001538,0.001538
9,2651.75,1.36172,1.38145,1.35705,0.58893,0.60697,0.57802,0.32538,1.51837,1.6069,1.52186,0.001472,0.001472,0.001472
10,2765.32,1.36526,1.31788,1.34529,0.66336,0.60199,0.61598,0.338,1.53839,1.43661,1.4753,0.001406,0.001406,0.001406
11,2878.4,1.33025,1.24376,1.31451,0.70803,0.53234,0.5878,0.31782,1.55126,1.5595,1.50152,0.00134,0.00134,0.00134
12,2991.41,1.3088,1.18621,1.29897,0.63374,0.57711,0.6086,0.34787,1.51752,1.44058,1.4873,0.001274,0.001274,0.001274
13,3104.21,1.264,1.16682,1.30516,0.64336,0.56219,0.62831,0.332,1.57545,1.46626,1.52481,0.001208,0.001208,0.001208
14,3222.39,1.26954,1.16162,1.27603,0.61006,0.64179,0.64437,0.36414,1.51934,1.41198,1.46155,0.001142,0.001142,0.001142
15,3351.57,1.25328,1.13607,1.26688,0.67178,0.59204,0.62064,0.33787,1.51955,1.4703,1.48942,0.001076,0.001076,0.001076
16,3482.25,1.22255,1.05704,1.25475,0.69379,0.59742,0.64773,0.38029,1.50401,1.46158,1.44026,0.00101,0.00101,0.00101
17,3620.24,1.20509,1.06131,1.24846,0.64266,0.62632,0.63611,0.35072,1.50893,1.38115,1.47169,0.000944,0.000944,0.000944
18,3750.91,1.1882,1.02324,1.23319,0.76377,0.64344,0.70841,0.4102,1.43098,1.23966,1.40754,0.000878,0.000878,0.000878
19,3889.14,1.17821,0.99878,1.2338,0.60699,0.66169,0.64716,0.37739,1.47536,1.35401,1.47604,0.000812,0.000812,0.000812
20,4009.84,1.14665,0.95977,1.20714,0.7517,0.56716,0.6768,0.40147,1.50132,1.31135,1.45942,0.000746,0.000746,0.000746
21,4128.48,1.14906,0.93653,1.2272,0.68721,0.66667,0.66894,0.38198,1.48341,1.33014,1.43206,0.00068,0.00068,0.00068
22,4477.54,1.11385,0.84616,1.19149,0.64021,0.66395,0.67494,0.38864,1.49839,1.28808,1.45004,0.000614,0.000614,0.000614
23,4932.16,1.08393,0.81913,1.19554,0.63278,0.703,0.70515,0.41966,1.46771,1.23841,1.41534,0.000548,0.000548,0.000548
24,5124.41,1.05095,0.77311,1.15998,0.72228,0.69154,0.73389,0.43727,1.40716,1.1734,1.3825,0.000482,0.000482,0.000482
25,5231.34,1.01341,0.73105,1.1408,0.69496,0.66876,0.72943,0.44189,1.40554,1.20553,1.39794,0.000416,0.000416,0.000416
26,5352.65,1.00952,0.72296,1.13063,0.69496,0.72637,0.73754,0.44869,1.41497,1.26711,1.36238,0.00035,0.00035,0.00035
27,5468.15,0.98091,0.69399,1.11046,0.71828,0.73134,0.7809,0.47188,1.40004,1.09771,1.34963,0.000284,0.000284,0.000284
28,5578.2,0.94331,0.66148,1.08942,0.70605,0.72897,0.75519,0.46113,1.37192,1.13857,1.34615,0.000218,0.000218,0.000218
29,5706.12,0.94112,0.64588,1.08971,0.70635,0.73134,0.76149,0.4669,1.40295,1.13766,1.33843,0.000152,0.000152,0.000152
30,5884.82,0.93327,0.64389,1.0922,0.72741,0.71692,0.75932,0.4731,1.38336,1.16346,1.32606,8.6e-05,8.6e-05,8.6e-05
